final_holder_id,tx_count,received_sum_ada,sent_sum_ada,received_sum_gens,sent_sum_gens,received_sum_milk,sent_sum_milk,received_sum_min,sent_sum_min,received_sum_wrt,sent_sum_wrt,received_sum_sundae,sent_sum_sundae,received_token_count,sent_token_count,gens_balance,milk_balance,min_balance,wrt_balance,sundae_balance,token_num,ada_balance,is_virtual,all_bech32_addresses,has_script_address
stake1uycjqsn6yhvgrauszlvtyh57ynaxz2z6296g60x0z82h2uq47hhus,744,243997.742716,238179.240743,0.0,0.0,0.0,0.0,217680.150565,216173.155064,10.0,9.0,4.37632,3.938688,292,286,0.0,0.0,1506.995501,1.0,0.437632,270,5818.501973,False,['addr1qy4ssmmysxr2sxtxxejxgg0w34gy2hhcvzqgl3tzf0cx8333ypp85fwcs8meq97ckf0fuf86vy5955t5357v7yw4w4cqt8qqc0'],False
stake1uycjuvfzf7llz4jum0txe3vx3p2szkw2e33f43naeyupduc8swps4,3,2169.001138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.209774,0.0,909.967075,0.0,116,0,0.0,0.0,0.0,3.209774,909.967075,116,2169.001138,False,['addr1qyyxps3rmhy2jenkjrnv37uw4t0v7gs4rs7gz4kwcmm20je39ccjynal79t9ek7kdnzcdzz4q9vu4nrzntr8mjfczmeszdjwtd'],False
stake1uyclhd67yrjl4hgclf2tyff6dvgccx5cugc8gs87j3j0ahgmjgj0x,1267,135104.555394,133951.354993,0.0,0.0,0.0,0.0,80691.339636,80445.999506,1096.359569,1036.403202,0.0,0.0,273,263,0.0,0.0,245.34013,59.956367,0.0,70,1153.200401,False,['addr1qy2a263ee64ghjjqq5786t006rq27c7f2ujjfkwl8ku9v4e3lwm4ug89ltw337j5kgjn56c33sdf3c3sw3q0a9rylmws8xdx0n'],False
stake1uyclz8jkj755mtlvmuhpjkdpx7qq9f2pe2ghc795l2pxejs2tu3pu,62,29113.807263,29103.998574,0.0,0.0,104.0,104.0,0.0,0.0,13.0,12.0,0.0,0.0,23,19,0.0,0.0,0.0,1.0,0.0,8,9.808689,False,['addr1qy4xgz8t3a90pj5hgk3g7htcla3kyheg93hcajf4jex3hw337y09d9affkh7ehewr9v6zduqq2j5rj5303utf75zdn9quclj0a'],False
stake1uycmlex0tjnw529pgcjfr043za5an03u4958xdd0enqyutgw85ufu,91,1389.601594,1381.274908,0.0,0.0,0.0,0.0,0.0,0.0,33.236437,20.460255,226.891835,226.891835,10,10,0.0,0.0,0.0,12.776182,0.0,2,8.326686,False,['addr1qy8c5zpveld8efu5ess2ms9g3z8s25a4xez9wps6qt8w4je3hljv7h9xag52z33yjxltz9mfmxlre2tgwv66lnxqfckszc8hhu'],False
stake1uycmwstgtjtjc4fs9wlf9taj7rhyv4djwxtt4zqaukj7f3gp0ddfy,267,306223.905956,306208.300309,0.0,0.0,25.0,25.0,0.0,0.0,4977.86022,4884.832312,11273.930776,11273.930776,74,74,0.0,0.0,0.0,93.027908,0.0,40,15.605647,False,['addr1q90pq8ayxpzcszvrlmsnmc7mj4ft7ntxvh7dsjkw682xkce3kaqkshyh932nq2a7j2hm9u8wge2myuvkh2ypmed9unzsa7wsm6'],False
stake1uycn3alyepf6q786mp5lxgzgkjkj3v3wxa5ufacxw5w886sxtfuzh,14,50.297321,0.0,0.0,0.0,0.0,0.0,12404.390662,0.0,5.0,0.0,61.719464,0.0,59,0,0.0,0.0,12404.390662,5.0,61.719464,59,50.297321,False,['addr1qxk5v6gcam4860j3n50phuzpg3llmh7pjlxgh7jvhyphacf38rm7fjzn5pu04krf7vsy3d9d9zezudmfcnmsvaguw04qkyvnls'],False
stake1uycn938aelets89nykleyy3gcpctss0h2u4lmxjd4npnkvq20rdzu,13,259.494993,231.830269,0.0,0.0,0.0,0.0,0.0,0.0,2.079426,0.0,0.0,0.0,4,3,0.0,0.0,0.0,2.079426,0.0,3,27.664724,False,['addr1q89yy7gt6ct2zfnkygsyyphxj029zpkgqeqrhlz3672hmrp3xtz0mnljhqwtxfdljgfz3srshpqlw4etlkdymtxr8vcqp0d8ce'],False
stake1uycn9hzxp4ldh90q8znk77rtwx9sglszq7xfl608h4wlxncfqsq75,67,32208.746797,28208.277102,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,46,40,0.0,0.0,0.0,7.0,0.0,41,4000.469695,False,['addr1qyg7hrkx42vd28caysyxtnfswh4f84u7ytt26s5j78a5a3e3xtwyvrt7mw27qw98dauxkuvtq3lqypuvnl57002a7d8s9xrav7'],False
stake1uycncylhmz4k0eva9ew9lkg2sqkyf397taw7p5yerf89qkssr2da9,1455,642749.469885,642590.590421,0.0,0.0,45584.0,45584.0,399173.926768,396787.616452,8063.841016,7972.206459,256990.571353,254219.890776,700,697,0.0,0.0,1386.310316,91.634557,2770.680577,373,158.879464,False,['addr1q9zlasyyd26d9avyzftmkl3crpuw993d0sx2q9kddh9x7rp38sfl0k9tvlje6tjutlvs4qpvgnztuh6aurgfjxjw2pdq746c5w'],False
