bech32_address,tx_count,received_sum_ada,sent_sum_ada,received_sum_gens,sent_sum_gens,received_sum_milk,sent_sum_milk,received_sum_min,sent_sum_min,received_sum_wrt,sent_sum_wrt,received_sum_sundae,sent_sum_sundae,received_token_count,sent_token_count,hex_address,gens_balance,milk_balance,min_balance,wrt_balance,sundae_balance,token_num,ada_balance
addr1qywls0fquzmv63fp9qw3458pqes6d5v0wt9h9swhk6w2xer8xccxzp6y2fm37wueygkfy4m4yla997yv4redyzd9kyvs88nzaw,1844,11587902.456204,11583980.394448,40757.230239,40757.230239,0.0,0.0,30526.63908,30526.63908,226294934.321546,225474748.221421,90910.495626,90910.495626,82,82,011df83d20e0b6cd4521281d1ad0e10661a6d18f72cb72c1d7b69ca36467363061074452771f3b99222c92577527fa52f88ca8f2d209a5b119,0.0,0.0,0.0,820186.100125,0.0,20,3922.061756
addr1q9xc480ha4xzas6cer0qjeh8x3sa0tjlh083xskkqu556rxlh2k969pw3vjd094h2jpa0n9g27yxkyargjvgl0wmskpqkzzt27,3725,42477428.416013,42476574.73113,27511227.25546,27358592.322521,713779.0,713779.0,4668634.645393,4664188.971366,193328136.6123,192522722.789245,45090000.036912,45090000.036694,105,104,014d8a9df7ed4c2ec358c8de0966e73461d7ae5fbbcf1342d607294d0cdfbaac5d142e8b24d796b75483d7cca857886b13a344988fbddb8582,152634.932939,0.0,4445.674027,805413.823055,0.000218,46,853.684883
addr1qy5n23mf4fzaj4l3j8vkd9789n0lfzlg8pa7vzjymzurwhg7q5mclvnem7qlkut29fmx0dk7xz48ze2yel4hthpd0pms72ch0q,282,8072213.935616,7653596.954037,0.0,0.0,0.0,0.0,449300.0,449300.0,6930038.006363,6150024.971582,0.0,0.0,28,15,0129354769aa45d957f191d96697c72cdff48be8387be60a44d8b8375d1e05378fb279df81fb716a2a7667b6de30aa716544cfeb75dc2d7877,0.0,0.0,0.0,780013.034781,0.0,18,418616.981579
addr1q8kfww79vg0zslk4swnwrnttjffw3j73yqka3cygzpv9wasmxhvd0g88dge23rff0p3y4pcrrlpgg8y6gtyzryt69mns670p0z,277,345448.353026,345431.897704,1785.354,1785.354,0.0,0.0,441900.751055,441900.751055,1638273.728747,990911.000474,193497.96537,193497.96537,124,124,01ec973bc5621e287ed583a6e1cd6b9252e8cbd1202dd8e088105857761b35d8d7a0e76a32a88d2978624a87031fc2841c9a42c821917a2ee7,0.0,0.0,0.0,647362.728273,0.0,62,16.455322
addr1qxeqeryjzehw5zz7vefw6z0hc8g4fwny9gg996u3qtu5ydfnkf3yqhcyca6ghvrkgzdpugw4f2lkm9dxzgx67ag2yneqq3xuz3,4,4.79703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580000.0,0.0,0.0,0.0,3,0,01b20c8c92166eea085e6652ed09f7c1d154ba642a1052eb9102f9423533b262405f04c7748bb076409a1e21d54abf6d95a6120daf750a24f2,0.0,0.0,0.0,580000.0,0.0,3,4.79703
addr1q8kt4ks4586d6rckevprfmmcjl9y2kh3lseuxq66uftwyku4xtf7mtwelmja0trkt9u6dlhyly3wft0ycgxutkhpwwhqc4kvht,9,182.236087,169.813394,0.0,0.0,0.0,0.0,0.0,0.0,1519642.857243,1091071.428643,0.0,0.0,1,1,01ecbada15a1f4dd0f16cb0234ef7897ca455af1fc33c3035ae256e25b9532d3edadd9fee5d7ac765979a6fee4f922e4ade4c20dc5dae173ae,0.0,0.0,0.0,428571.4286,0.0,1,12.422693
addr1qy3l8fwssw8mvadaqalsshwegnue744cpssjg8pjx6k7ttgkse5rljcn7w4q9x5442gvh9q0xdtttuazurn5ysfkz2pqyqt2lv,8,199.319613,144.903271,0.0,0.0,0.0,0.0,0.0,0.0,622321.428627,199107.142886,0.0,0.0,3,1,0123f3a5d0838fb675bd077f085dd944f99f56b80c21241c3236ade5ad1686683fcb13f3aa029a95aa90cb940f3356b5f3a2e0e74241361282,0.0,0.0,0.0,423214.285741,0.0,3,54.416342
addr1q9lvp59kpu8ukgtsep5la927sp7au32d727ecghy4r6yq9pvz44vafs6n82vr3v2zzrh7qmq9heqwm3kpk4damg4crxqcqwccf,2105,3115199.442922,3114755.84597,0.0,0.0,0.0,0.0,0.14601,0.143655,7754032.038856,7343794.171619,15938276.911826,15673030.252997,192,191,017ec0d0b60f0fcb2170c869fe955e807dde454df2bd9c22e4a8f440142c156acea61a99d4c1c58a10877f03602df2076e360daadeed15c0cc,0.0,0.0,0.002355,410237.867237,265246.658829,132,443.596952
addr1zypr0np3xatwhddulsnj3aaac65qg768zgs2xpd2xuaj0zhrpxjxxg2ljjn7prtanxktqg0vnrcstn38cccf5fq5tghs4up07u,64,256.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,17347741.753457,16969815.086021,0.0,0.0,2,2,110237cc313756ebb5bcfc2728f7bdc6a8047b471220a305aa373b278ae309a463215f94a7e08d7d99acb021ec98f105ce27c6309a24145a2f,0.0,0.0,0.0,377926.667436,0.0,2,4.0
addr1qxs6ekeg7hj85wfsrwqpk7r36pp5hckg03ul0alvfvs427mlet4w5ke4nps3xknytxt7ymuwyrttcnjfxnw3h9yg0r6qsrjxz6,75,278850.413892,272377.582518,0.0,0.0,0.0,0.0,0.0,0.0,9239400.0,8897288.0,0.0,0.0,4,1,01a1acdb28f5e47a39301b801b7871d0434be2c87c79f7f7ec4b21557b7fcaeaea5b359861135a645997e26f8e20d6bc4e4934dd1b948878f4,0.0,0.0,0.0,342112.0,0.0,4,6472.831374
