bech32_address,script
addr1qyu8j02u4hrm760snf2ks62m9j4ep9xc70epjttm8a4jul297dakjm3gf2q3z8kn7mcz8qtmae2f55egg7rh0s6mqftqp6lmy2,False
addr1q9e83f5yu4t2kuv6wlp8avrgf7rwjumlaxzf25hajm228zt96gm6azm0awjfa8jxjz07h4fce7e8mguv2kpalt3kwx3qa8sjlt,False
addr1q8ze9lk0czk5gz4huwu0p3z0y6a7tgmz6qkgpt3gnt89qghxlwuqc7y4kcmpxfxhae6v2aggvtwsvnnujvv2ls6dc4tsttvn2g,False
addr1qykkw5l3tgj960ehdljdzrllcqvv2njmj83l6d4eyvg0wxnay0vaqc8dte2u68yt8epy9hzmczuaq508cfcses9g7tasr3pju7,False
addr1qxcr2d0xy34zthumdjx5lhghmzapxjhywzpqf4jskhmjkqtur7xzendl48e54s6n36ataj5y2vghtvpz42p9zfelc7lqdj2hql,False
addr1qx42qdu8pm8cjz9lq5gww9yatrfmuwmpjnnu529wgyku4mhuqccjtwffnchl77mvfggeu5zjarvre2f5ulmr6jcak7msc33fvq,False
addr1qxtugq3gufcyk7gdjepazmqzlwyre5p8wvqneeskg6tedke4s89fxf09udrgxac6467g9swwjylfa5dkntwgrttmdvgsg6vxlp,False
addr1qxmyup7p4rvtm02cxyz48uc8hmssnt9lev9qxku33lssvzfjl7xtw6znaa3haqgjw2xwsunrr9az83v78zlv2xja79vs67z7al,False
addr1zymeshes0pxnr2s4v95a4wchxs74l0lqt5n3f6rxynnepgjj2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq64anuz,True
addr1wx5p836jswavyfd3nuwscz53fkyu43kmn2wwje73qhf48mqw02kqx,True
addr1q8jexvfz5z88ykjuy5zz4haadgd575603h8tz60a89ztuxjc93zfg4n92j96a9aau2r0rgsz25dal63l7enefqvq286sdwgc43,False
addr1q8gy9xf0mnesh24t7srtsgpwzqh78gfgdw0lxfrxm68pu4379g8e33fxshjrxgq288lezmrljc848jrckam9e7muhlwslcqjmk,False
addr1qx3re2u0exd5jpatkgw920euzvhh9dw4uth28wtg7epp4rgrxehxvxuzapjdga5juyvzfdah9c3pj3rfpl0fv4h979sqqxgex5,False
addr1q9d9xu3gefhdnp48qfudjn6ewa7awea6ur6zqrt93eug5p27ut07ts5pgm2agaf6dm9vzd4qk49zwg5ru3m2la4f9s8sfqnwk0,False
addr1q9pj0ludkkkd2xv5m4v62jtf5af4f9vadrn2nyg9075rzeu3rk53a70qs0k3yvd2rxvzlj5a79y67te8xqnwwlas4emq2xxh90,False
addr1qytjj08hg7c860lh3wdhyh7v92swl8fvwye265dpuyvypkhesucr2wkz2s3ya88xr8s3p3qz4ej9u3003luakeqw3jpqrmknax,False
addr1q9zwaxa54nyf6cfw4kqcrylqkcntyn2je5uxtngfy2h0qwkefhar2ekske8lt8e5edzz6czt9ycy068t84snuxu6ac2s44s4kd,False
addr1q9rhxuxu7tf5gfvfwpe8gkcpwr4hjd2dy0h5hlaqtjj47kfecrs82c94qzn77vledefaqaatnc5l05rhw27fwky9ea0qew7wl2,False
addr1qyex6kzjuc3l8u7lpjfz87kly523lfhehf9p67v5ycat0lqqxrt3mn64g2c9afwm7ktk60msmpvtjudhczc5qqnkx59s0tz84v,False
addr1qx6exg6gw7yxxc5q3ggnmllhvk68cetvequ99wxs07czv7ne2wuy6pkflv3tmcptayjw7uy2mtalw8eupymjzguan98sg78kw8,False
addr1q9rrlx5v7udlkyj96g20py20apfxgw9kkgh6a5h6hsjmc8f4m6pylfjc73dfqdjx9axq7n65ch26kqde0ewtmvmarucshly4md,False
addr1z8p79rpkcdz8x9d6tft0x0dx5mwuzac2sa4gm8cvkw5hcn9r9srssv9qs0udwdeunsw0g5llveet6at407m258qlkfsq93uvdf,True
addr1q9jpyncr9mw97769kwlr898z3p7rk9mpnjs4ux4f36h39clzphq3wwrgz5fhk7x6emy3kjltus6rfl8slrmdr03j43pq2j59dx,False
addr1qydvnk7hcaanc00772p6lkuumhze7x8wrndcqzx4x6n436735v0sum2yaffkpe0ngknj6cl7v5x7vvhpk354tef7wqrs73atmy,False
