token,bech32_address,quantity,token_amount,hex_address
WRT,addr1qy3l8fwssw8mvadaqalsshwegnue744cpssjg8pjx6k7ttgkse5rljcn7w4q9x5442gvh9q0xdtttuazurn5ysfkz2pqyqt2lv,423214285741,423214.285741,0123f3a5d0838fb675bd077f085dd944f99f56b80c21241c3236ade5ad1686683fcb13f3aa029a95aa90cb940f3356b5f3a2e0e74241361282
WRT,addr1q9lvp59kpu8ukgtsep5la927sp7au32d727ecghy4r6yq9pvz44vafs6n82vr3v2zzrh7qmq9heqwm3kpk4damg4crxqcqwccf,410237867237,410237.867237,017ec0d0b60f0fcb2170c869fe955e807dde454df2bd9c22e4a8f440142c156acea61a99d4c1c58a10877f03602df2076e360daadeed15c0cc
WRT,addr1zypr0np3xatwhddulsnj3aaac65qg768zgs2xpd2xuaj0zhrpxjxxg2ljjn7prtanxktqg0vnrcstn38cccf5fq5tghs4up07u,377926667436,377926.667436,110237cc313756ebb5bcfc2728f7bdc6a8047b471220a305aa373b278ae309a463215f94a7e08d7d99acb021ec98f105ce27c6309a24145a2f
WRT,addr1qxs6ekeg7hj85wfsrwqpk7r36pp5hckg03ul0alvfvs427mlet4w5ke4nps3xknytxt7ymuwyrttcnjfxnw3h9yg0r6qsrjxz6,342112000000,342112.0,01a1acdb28f5e47a39301b801b7871d0434be2c87c79f7f7ec4b21557b7fcaeaea5b359861135a645997e26f8e20d6bc4e4934dd1b948878f4
WRT,addr1q98jxshp8szmj93xwyvqa9adrrr83ymhlkrzmeandyykw7l4kvqgfxucchnk8jl25c59ep4r392fahjgms340740nxwstfxl8w,301372592976,301372.592976,014f2342e13c05b9162671180e97ad18c6789377fd862de7b36909677bf5b300849b98c5e763cbeaa6285c86a389549ede48dc2357faaf999d
WRT,addr1qyf0ayjsuq9kw7fsyxfhvrjc7382eczrxyvlt8ylnw2e2j6wecyurfc7sehzxk26hye4y4u94yw0gfypykaf2dqcp3lsfh442c,284874985740,284874.98574,0112fe9250e00b6779302193760e58f44eace0433119f59c9f9b95954b4ece09c1a71e866e23595ab933525785a91cf4248125ba9534180c7f
WRT,addr1q86spwpet2skh2s60twxhdthxtaaafjev79xjj2kfqxnqquxqg42wwvakvwuet3twfueg3wwxelx7f05ha0lsgpapuhsn84p0t,271320927115,271320.927115,01f500b8395aa16baa1a7adc6bb57732fbdea659678a694956480d300386022aa7399db31dccae2b72799445ce367e6f25f4bf5ff8203d0f2f
WRT,addr1q9e83f5yu4t2kuv6wlp8avrgf7rwjumlaxzf25hajm228zt96gm6azm0awjfa8jxjz07h4fce7e8mguv2kpalt3kwx3qa8sjlt,250000964416,250000.964416,017278a684e556ab719a77c27eb0684f86e9737fe9849552fd96d4a38965d237ae8b6feba49e9e46909febd538cfb27da38c5583dfae3671a2
WRT,addr1q920g0jwzdwlg4fmdsp0z34sm58r5dxt4yctwplapj2z3gcuet9e9nrkxlk7av30mehgsn8tunlgpuwlv6f4yyd4lzkshvndj4,248585123781,248585.123781,0154f43e4e135df4553b6c02f146b0dd0e3a34cba930b707fd0c9428a31ccacb92cc7637edeeb22fde6e884cebe4fe80f1df66935211b5f8ad
WRT,addr1q890sne7422mf56fnsjqcgl0rzde3uuqwwdukal6zzakrhvr9g3p3jugd8ed0gjtzf0t288ew6h6rfvl04d80y6vumaqznva79,244293661409,244293.661409,01caf84f3eaa95b4d3499c240c23ef189b98f380739bcb77fa10bb61dd832a2218cb8869f2d7a24b125eb51cf976afa1a59f7d5a77934ce6fa
WRT,addr1q82uzp3y4qkh9lwf9n95982y2jz0vcm5n9wf3srg2fjeyd2l9jcwjh0lz75pz5p7r6n65ckdzghaqckc6g07j0ezmnjs85yl9g,218572949950,218572.94995,01d5c10624a82d72fdc92ccb429d445484f66374995c98c068526592355f2cb0e95dff17a811503e1ea7aa62cd122fd062d8d21fe93f22dce5
WRT,addr1q896d0rg07gwrx55p4dlugfy4lden8k4n86epfftc2w7s5v0wzq62fyjv6r3a6swj8eavf65vly5q36xfeh36e5f0vws8psv9f,213185301531,213185.301531,01cba6bc687f90e19a940d5bfe2124afdb999ed599f590a52bc29de8518f7081a5249266871eea0e91f3d6275467c94047464e6f1d66897b1d
WRT,addr1qxg5zjakcu82yt98khmafmcl2zywc0cnsxf6yqqu9uzlkqeg9578cdenr70xg4vfvg3xp2mnu65r5tdavhvuf9k6vqhsgkahfz,204714285755,204714.285755,0191414bb6c70ea22ca7b5f7d4ef1f5088ec3f138193a2001c2f05fb03282d3c7c37331f9e645589622260ab73e6a83a2dbd65d9c496da602f
WRT,addr1qxwknru0tguc6akdxvdzq2kwlglycf036saf3l5h5evq5ldtayz0mup8mtzs9hgnrmss52y4qqk4k402zp0tcnkpt3cqqvu5ag,201072344384,201072.344384,019d698f8f5a398d76cd331a202acefa3e4c25f1d43a98fe97a6580a7dabe904fdf027dac502dd131ee10a2895002d5b55ea105ebc4ec15c70
WRT,addr1q9k3nj5ml8n3e60hkxdjmhg63yywywu2z2k4weqjyway5mnvvpnj6hq6fj4j9vertmzdhwawynyk8tjtzju5t0ywv35qy2fw4n,200066447701,200066.447701,016d19ca9bf9e71ce9f7b19b2ddd1a8908e23b8a12ad57641223ba4a6e6c60672d5c1a4cab22b3235ec4dbbbae24c963ae4b14b945bc8e6468
WRT,addr1qyka0ql0lc6scwhzwma5caxs8dcsen2hrfdmgmk4ry3x6c02gz7vk03ns78ntzyt2jruw6wccqxrc4svhrn6azh693rq3sj9wl,194890000000,194890.0,012dd783effe350c3ae276fb4c74d03b710ccd571a5bb46ed519226d61ea40bccb3e33878f35888b5487c769d8c00c3c560cb8e7ae8afa2c46
