bech32_address,script
addr1q9uxhz8je2lnyvf97k5vyq4j2hy8a7ffn0nz59mtcn8sfs66ptfle75fd98jte8j9mkddttth44ns7h0r9490dg0kxaqd3hx6t,False
addr1w8qnfkpe5e99m7umz4vxnmelxs5qw5dxytmfjk964rla98q605wte,True
addr1qyc4wk9n7nuf6ulrg83q5tkf7za9z6z956hn8ydak8kps42ysrlj3qv8vnxf0gwwnp9v0r2ptvnvmhksluvdz424dufqfnk7qc,False
addr1q9mcm3cvl3ayc8ch49d4f32727pewsyslwfwvphpjc9u6j42g2lshtsllltedpltd6crfl89duts7ws7sa8k58nxf49qhtshv4,False
addr1qyxjtkrc0zwa273gdrphrmymew29uxya2utg83lxzp3znsjnutps7ma97hyfwk9khefevgqceqwt6geahvn6jhpt9zzq2dn5gm,False
addr1q8yq5qjdlgflumfcle07wqzygn9sg9mxa09hlj8y8vhzjg2xzgrh3kqm09jv5tvz6yyn4f2qq9uf9serc7rz92u8mqjqqr9ddv,False
addr1q945rfg659h650yxr05zt26grv32ttruwg5ap2ngdnl625jtaqpdnxkv0nj9vj2l7jvftx0ka3xcucytems4knqje8aszmlv4k,False
addr1q872pu9sp3ky28v7eaxlxqtxpr72kdch4u6gx9kw632hjedzr46yss7t0t9wnefx8l3nk4pdk6r4ppf4psdf86cdnleqsywmdd,False
addr1q8txcm0p9lvkdu9427l50yup4rx9j4yjmdjpgaf0w8y52vdxwl52ag3agfduecyfuyjze09u53nw3e2vef7rptnahsyqm0r0k5,False
addr1q825p6fm8syhpyu8jvm6r99eps075t8q70cgpl465jn7725qgrnjhxwpzutalr94e2puggzu4k3z77gufu7u0kyh32rqhswvh3,False
addr1qyrqlh5sd4legk7cn8wgsvv3qdq0ttlg8kn02ah6n5qypgdzvtgdndcfurvfr0v7fm0k9jssauk43cg9juduqqjyusrqujgvgj,False
addr1q8e55dkpn88jsj0nxkm2qmtyct38dw5aqhuhxq055crrfzh8gk9v3trshh3fz6geq8889vgd2twhfmehxug9kj5fkg6st7a6he,False
addr1qxjtfqg7p6sqdq4y5g24j6uwe58hd9huawd3wjtsn3804qu6xr2h8d3t0evp50sa3ywvz354vk28v7zqwta8fdtlq7tsudg8kd,False
addr1qxax8h8x3rx02kt9j5twtc7q0f7dvsx2g36n33fwtlameapyftds6jfpk63u07g5zcvc5c633yrnhwgpvwaz7q0hz9aswyct85,False
addr1qy9apllptwumct5nacjums9yfw9lhun4dae0tpxl77433j5h8v2wz7h2j62q3vkylr23n0ks6kd7c0e6ph4wzcf7aa4q0qskxc,False
addr1q9vqq7f788euldl902ykhf0ldgazfrynfdskkxz6wf8hx4htf8awy7ny99gr3anv5dm52f2vh848wkn9sq6c47r3luuq4endv4,False
addr1qxac9hfu5mm4wqmpq3lmtgjf44rtd6u5n29ln8tgajj6zk852z40l6l4djrmm2x4sy9gtp6y8ds4rhufuzjkue3kkzuqu8m7nu,False
addr1q8qzjtv5yhjqh67dxp9shp7053yld3kvtgz4mzytznh0e3whcyqzczekckejldyhnc050c7f62k9hsu3ue4ex5glwq9shycpkc,False
addr1q9kmecv26jt2gpge9s67ytr7fm5g464xp2c8djygnggkq3wwm9luxvkchlhh7u604z37ya9h0hg5pnl0cu2uf3h368dqllteg4,False
addr1q92r6hsmk03nlg28g06ea6qydnmnkwmg0wn32kt3ruchdf9h5jupchf8pq790x7ypxp4prm6zeg3yemncklh9hdw5s6qnhv6cm,False
addr1qy0ana2k90n2930u20kdrzdsqy5jllmu64ju8fzvckp403a2g2lshtsllltedpltd6crfl89duts7ws7sa8k58nxf49qsal4ds,False
addr1qxsnwpf74wngtl3zcyckvehsgtx6u88j40szmyh0q4dszqrkx720a3gfuwnt88rfc6ay33etrppluul5qslmpcrfth6qn7auzz,False
addr1qx5t2ra8l7ytdf7stwxcynlm9ymftcfs204mrkckvyg2j4qw5plvghmfj88tjj9j9yjptf4wfh9ykwldw4rpuv5jwwcqq6d5dv,False
addr1qxrlynj0cjsn9pscey7g73znskqx9mceltv6pkn2tzyhc0qujlpay6j9jtvkznumpp75d6r04xajge78ps44qzrs73kq8qw62e,False
addr1q80fpu3v8n8wctwcj5mmmxnevt3cd684mr9fl9f34mhnyv4e74g7v8tpz348epsjgdfjz586wj7q78lguagfg2q5jasq8nfpst,False
addr1q8wf5tq0qehc2tsnvg78la9tjqja0fgec73408g3zkr8w44l0c40057n43ykp9ry4pfuh2g8kplk82m6teynjsz47j9sex6gy5,False
addr1qxhweu3qde66w263exa3yvmkt9php5vmt32et5jpqxezp29vjtzr0scddmgsu5nakvc4zqepl3ef6anvwdchakshs7fq85pne0,False
addr1q85cva9jc85g3fg6u7663tz7483gaf0fgu2lck2synv898kctf55mcg3ctmulqa7tx9ktqqkyv80germx62g8tpt884shyw3kx,False
addr1q9n2rcqdakfap85hcaqkn0j52py5ellh5qxppzvemax4c686dlav8etntmdytadxs7ts00ufhvf2900zfv0hsx48t7gs8gwwxw,False
addr1qytm9sn373r74nq6yzaz4jvm6lewvr9v7jwq4jxp9aqxsy9ll53s9w34cs35z20cz896y868k0pphe82nm72nhlvqndqsz80a6,False
addr1q83e3jfpduzld78c29gdlfjwrhc9dn7l9anm49lpzzxulx0l3ameapfr8rd3vu7n60mycy5tpfxmdrdwlkfk5qm0294ssnjdp4,False
addr1qykl4fdpp6kf3w0xs8snftf2dklyujh3y5vc908r3uc4fj8m9tekk32g93k27twuvhvkh4qjnxfenhelnas77gv2pm9senxe3z,False
addr1qyt4nh00hypqu4f74jlrveuxmtyucs6rujf3l4f8q2mvxe73l0mjcx64la8attkqzngzv5ad2zcmyqjprd68uz38wpkq9cw64j,False
addr1q8l5ss2aet2ml2e4cwntm00gfpd7n38a7582vju52twlcpq87w9apxda9dnnpqke4ys0447h2kwt6agluk9u4guajkksxald09,False
addr1qxz0z55dymfe493evkfvwwea2pp4jsv859dtw9jd3nljcf65gg7e5aqx6z3hfn9rv89x9x20ccwrwu2veaucrzd2m0xssu8d2u,False
addr1q946d4f6sap4czl5feglh8lvgz0k9qwup8p4dnrr3lct3pl5snsu7j7v26u2q8fn4pcfmtkh7906lw6ckkmly9ts5ggs666fy2,False
addr1qx9zqmxwdcwuz9pg99fn6uhak9s8ndm530h8u0qvefxj3awc58zh6w9xgx0dthzuwca28h88ka9wg9yg36c27p5z66wqghppf2,False
addr1q8ayrf3jqmd8reqk6zpmtutd0sczpvdeg2dkt045k9y03nt887e0974ntrvf6fz7rm7resll9cwl9m8mm890e9kz35nqcm2kuw,False
addr1q8nql6lma3vn38kwt7jtqc0wh2crcak3rytruxygxme76vqr4r730e2ml4f72367atkvde0agndr0h4ctqwqdjay2p6qv0sykt,False
addr1qxgwckj0anm5hmsxehhkg8l4naaxunjn9c9dan0q4mw8f2r5r73fsaxaseyhv38knqf7a57zckpzyghsmymu8ga3umqs9qqcsw,False
addr1q92xt7k5lav893rssky6ya40zztmgasfl78393jh3jylg8axj9dggjeqqvwh9vhnnt5a22x50m7u6pe0l4dcmmzmguts43dq2p,False
addr1q9r7epn40dn9faar2wtr4qw9n0syfa0ztk3d9mm8ncv7wh3jsq9zn4qlqukztg5ew72ccmg4m06w783wgl5tvaf44q3srf4crg,False
addr1qxycvz0c8kadedknj3uwkg7ws9z2rh48lz642xjesz79w9r85jsdfxxxtdd29ep73yy6wnct3dqy4p0ng983xp8gtg3ssgeahp,False
addr1qypgvv3x4mhpmkswwy9hmlc7furzhjueuww6tzscqfjp5ery6lvqeee65pufh2axew2u3djllwf9zqe38svqh7c0zj6sga9dsd,False
addr1q9p8gur26zpqvt0nwpf8f29tdwzcyfjlqh0aq6lczfr0an0jyeww7dflchhkycqxvfzjtp2jmt7uk0fqpv4cs76xzldsxsksag,False
addr1qy5zpw28p2s44nlsqfwnrsl60ke9tyxt7u0prxg82lapm78lkucrx4hyp2z03f5emyfx78285fre44axkqnmjjdpgnyqdwlkz6,False
addr1qykyx9z7tvyme7e7zulp6x5tna8utwjvlah3zsgsk4xu6e3dwg3u9uaanct6nnsf0xtqe008hyun5u6rmpt7p9r79vtsx0e9ry,False
addr1q858glj7y5rvql42vfcrwhk8xnf2dlxqmn3tufn2jand8z7h2769wuglcejmvpgw4k0vyvcw8qsq2w2cr9394xlpv8lqrdtcyl,False
